Name,x,y,z
1,0,0,194.31
2,0.52,0.7,194.33
3,1.02,1.67,194.31
4,1.44,2.55,194.33
5,1.89,3.4,194.33
6,2.31,4.32,194.33
7,2.74,5.23,194.37
8,3.22,6.12,194.41
9,3.69,7,194.41
10,4.09,7.88,194.42
11,4.59,8.77,194.41
12,5.03,9.66,194.48
13,5.45,10.58,194.54
14,5.84,11.45,194.61
15,6.23,12.32,194.71
16,6.74,13.26,194.84
17,7.08,14.14,195.21
18,7.52,14.93,195.61
19,7.93,15.73,196
20,8.32,16.66,196.06
21,8.74,17.34,196.05
22,9.31,18.36,196.06
23,9.65,19.27,196.1
24,10.12,20.2,196.21
25,10.55,21.02,196.48
26,10.99,21.81,196.87
27,11.39,22.65,197.25
28,11.78,23.26,197.52
29,12.25,24.26,198.02
30,12.62,25.03,198.42
31,13.05,25.88,198.9
32,13.51,26.63,199.22
33,14.02,27.53,199.25
34,14.49,28.4,199.25
35,14.93,29.26,199.25
36,15.25,30.13,199.28
37,15.77,31.06,199.06
38,16.11,31.77,198.5
39,16.48,32.62,198.03
40,16.89,33.39,197.57
41,17.33,34.11,197.15
42,17.76,34.92,196.75
43,18.17,35.69,196.28
44,18.48,36.46,195.83
45,18.9,37.37,195.59
46,19.33,38.26,195.62
47,19.67,39.22,195.64
48,20.14,40.08,195.66
49,7.09,-3.98,194.35
50,7.44,-3.05,194.32
51,7.88,-2.11,194.36
52,8.31,-1.2,194.38
53,8.75,-0.35,194.36
54,9.18,0.56,194.4
55,9.65,1.44,194.39
56,10.09,2.29,194.43
57,10.58,3.19,194.45
58,10.97,4.11,194.43
59,11.39,5,194.44
60,11.83,5.88,194.51
61,12.28,6.75,194.58
62,12.71,7.68,194.66
63,13.19,8.52,194.73
64,13.61,9.42,194.83
65,14.13,10.22,195.15
66,14.4,11.05,195.53
67,14.85,11.84,195.92
68,15.25,12.69,196.06
69,15.7,13.6,196.05
70,16.09,14.51,196.04
71,16.5,15.5,196.11
72,16.89,16.33,196.16
73,17.28,17.29,196.43
74,17.71,18.07,196.8
75,18.07,18.95,197.21
76,18.47,19.76,197.59
77,18.84,20.51,197.97
78,19.29,21.44,198.41
79,19.66,22.14,198.84
80,20.08,23.05,199.23
81,20.74,23.7,199.29
82,21.18,24.59,199.25
83,21.77,25.47,199.26
84,22.21,26.36,199.29
85,22.6,27.36,199
86,23.08,28.17,198.57
87,23.55,28.9,198.09
88,23.98,29.69,197.64
89,24.45,30.43,197.19
90,24.79,31.29,196.78
91,25.15,32.09,196.3
92,25.6,32.79,195.84
93,25.98,33.7,195.6
94,26.44,34.56,195.64
95,26.85,35.47,195.65
96,27.22,36.33,195.67
97,14.36,-7.67,194.37
98,14.87,-6.86,194.37
99,15.34,-5.99,194.36
100,15.85,-5.11,194.36
101,16.27,-4.21,194.34
102,16.7,-3.28,194.35
103,17.09,-2.42,194.37
104,17.5,-1.53,194.42
105,17.91,-0.63,194.47
106,18.38,0.23,194.5
107,18.84,1.13,194.52
108,19.26,2.04,194.57
109,19.74,2.87,194.61
110,20.16,3.78,194.66
111,20.64,4.66,194.68
112,21.05,5.54,194.9
113,21.41,6.35,195.28
114,21.88,7.17,195.68
115,22.3,8.05,196.07
116,22.72,8.94,196.05
117,23.16,9.83,196.05
118,23.58,10.75,196.03
119,23.99,11.61,196.06
120,24.48,12.45,196.27
121,24.9,13.32,196.59
122,25.37,14.16,196.92
123,25.72,14.97,197.32
124,26.14,15.75,197.66
125,26.56,16.59,198.08
126,26.95,17.47,198.47
127,27.33,18.25,198.9
128,27.7,19.14,199.22
129,28.1,20.09,199.22
130,28.49,20.98,199.21
131,28.88,21.86,199.2
132,29.34,22.72,199.24
133,29.73,23.64,198.98
134,30.15,24.42,198.58
135,30.57,25.28,198.1
136,30.96,26.08,197.6
137,31.36,26.83,197.23
138,31.75,27.65,196.74
139,32.12,28.41,196.24
140,32.58,29.14,195.76
141,32.94,30.05,195.6
142,33.38,30.93,195.6
143,33.78,31.89,195.62
144,34.21,32.79,195.62
145,21.29,-11.16,194.37
146,21.77,-10.24,194.36
147,22.15,-9.32,194.36
148,22.61,-8.42,194.38
149,23.02,-7.52,194.39
150,23.45,-6.64,194.41
151,23.83,-5.74,194.44
152,24.23,-4.98,194.51
153,24.76,-4.05,194.53
154,25.09,-3.15,194.55
155,25.58,-2.27,194.61
156,26.04,-1.35,194.61
157,26.43,-0.49,194.64
158,26.96,0.39,194.64
159,27.49,1.19,194.72
160,27.85,2.02,195.06
161,28.32,2.86,195.49
162,28.75,3.67,195.88
163,29.14,4.51,196.09
164,29.53,5.36,196.08
165,30.02,6.27,196.08
166,30.48,7.13,196.1
167,31.01,7.97,196.15
168,31.4,8.89,196.37
169,31.82,9.72,196.69
170,32.22,10.56,197.04
171,32.66,11.34,197.4
172,33,12.12,197.69
173,33.48,12.98,198.12
174,33.85,13.77,198.48
175,34.38,14.53,198.89
176,34.78,15.42,199.2
177,35.25,16.32,199.2
178,35.62,17.1,199.22
179,35.98,17.93,199.22
180,36.35,18.86,199.21
181,36.75,19.76,198.83
182,37.17,20.58,198.39
183,37.54,21.37,197.93
184,37.82,22.24,197.46
185,38.28,22.99,196.99
186,38.72,23.77,196.57
187,39.1,24.54,196.14
188,39.47,25.38,195.7
189,39.95,26.19,195.58
190,40.45,27.06,195.63
191,40.93,27.91,195.59
192,41.33,28.69,195.6
193,28.19,-15.2,194.45
194,28.64,-14.41,194.47
195,29.13,-13.46,194.46
196,29.47,-12.55,194.47
197,29.89,-11.66,194.46
198,30.33,-10.8,194.52
199,30.75,-9.9,194.53
200,31.23,-9.07,194.57
201,31.61,-8.19,194.63
202,32.02,-7.29,194.67
203,32.44,-6.32,194.68
204,32.83,-5.4,194.74
205,33.22,-4.56,194.77
206,33.65,-3.67,194.81
207,34.11,-2.78,194.87
208,34.64,-1.93,194.97
209,35.11,-1.15,195.27
210,35.47,-0.34,195.65
211,35.9,0.51,196.08
212,36.41,1.31,196.08
213,36.83,2.23,196.07
214,37.24,3.18,196.06
215,37.65,4.02,196.1
216,38.03,4.89,196.26
217,38.49,5.71,196.53
218,38.88,6.54,196.88
219,39.39,7.32,197.24
220,39.82,8.12,197.57
221,40.22,8.92,197.97
222,40.64,9.71,198.37
223,41.1,10.55,198.79
224,41.49,11.39,199.1
225,41.88,12.02,199.12
226,42.32,12.95,199.1
227,42.85,14.05,199.14
228,43.19,14.77,199.13
229,43.66,15.84,198.88
230,44.21,16.67,198.4
231,44.59,17.41,198
232,45.03,18.15,197.57
233,45.51,18.9,197.12
234,45.77,19.72,196.71
235,46.16,20.46,196.24
236,46.53,21.2,195.82
237,47,22.03,195.59
238,47.36,22.9,195.58
239,47.86,23.73,195.58
240,48.28,24.7,195.58
241,42.51,-1.72,196.11
242,41.67,-1.31,196.09
243,40.76,-0.94,196.12
244,39.94,-0.29,196.08
245,39.11,0.25,196.07
246,38.15,0.6,196.06
247,37.18,0.91,196.08
248,36.4,1.35,196.07
249,35.51,2.02,196.09
250,34.63,2.49,196.08
251,33.78,3,196.09
252,32.92,3.45,196.07
253,32.08,4.04,196.09
254,31.17,4.45,196.09
255,30.28,4.91,196.09
256,29.56,5.38,196.07
257,28.55,5.92,196.07
258,27.67,6.31,196.06
259,26.78,6.82,196.05
260,25.9,7.35,196.04
261,25.07,7.75,196.04
262,24.2,8.32,196.03
263,23.25,8.73,196.04
264,22.37,9.16,196.05
265,21.48,9.59,196.04
266,20.53,9.96,196.04
267,19.72,10.55,196.02
268,18.81,10.93,196.04
269,17.93,11.38,196.01
270,17.05,11.96,196.02
271,16.18,12.39,196.01
272,15.42,12.83,196.02
273,14.49,13.42,196.04
274,13.64,13.91,196.05
275,12.67,14.32,196.05
276,11.88,14.86,196.05
277,10.95,15.27,196.04
278,10.05,15.76,196.06
279,9.21,16.21,196.08
280,8.29,16.75,196.07
281,7.47,17.18,196.06
282,6.6,17.69,196.06
283,5.67,18.2,196.04
284,4.82,18.65,196.04
285,3.97,19.09,196.04
286,3.04,19.49,196.04
287,2.13,19.91,196.03
288,1.16,20.31,196.03
289,47.65,8.22,199.11
290,46.81,8.69,199.1
291,45.91,9.13,199.11
292,45.05,9.62,199.1
293,44.19,10.1,199.11
294,43.33,10.57,199.11
295,42.45,11.05,199.14
296,41.5,11.5,199.11
297,40.7,11.98,199.11
298,39.79,12.51,199.13
299,38.95,13.01,199.13
300,38.08,13.51,199.14
301,37.25,13.97,199.16
302,36.39,14.52,199.18
303,35.44,14.91,199.16
304,34.76,15.47,199.2
305,33.73,15.9,199.17
306,32.88,16.41,199.2
307,31.95,16.88,199.19
308,31.08,17.24,199.19
309,30.19,17.68,199.18
310,29.34,18.18,199.19
311,28.45,18.64,199.2
312,27.55,19.11,199.21
313,26.64,19.54,199.21
314,25.77,20.04,199.23
315,24.92,20.47,199.24
316,24.04,20.88,199.21
317,23.16,21.43,199.23
318,22.29,21.87,199.21
319,21.41,22.38,199.22
320,20.53,22.85,199.23
321,19.72,23.37,199.23
322,18.83,23.87,199.25
323,17.97,24.37,199.25
324,17.07,24.81,199.26
325,16.2,25.31,199.26
326,15.32,25.83,199.26
327,14.5,26.27,199.25
328,13.54,26.6,199.23
329,12.68,27.18,199.24
330,11.84,27.66,199.24
331,10.93,28.09,199.23
332,10.03,28.55,199.23
333,9.18,29.03,199.21
334,8.29,29.46,199.21
335,7.43,29.96,199.21
336,6.47,30.45,199.22
337,54.02,18.19,195.58
338,53.15,18.66,195.56
339,52.3,19.14,195.57
