"clean_data.pseudoX","y","z","rho"
0.745,1.23,193.817,717.482
0.962,1.663,193.575,948.603
1.18,2.105,193.329,1090.86
1.63,3.005,192.846,964.315
2.415,4.57,192.023,735.722
3.05,5.9,191.361,486.258
4.015,7.845,190.656,307.173
5.72,11.235,189.806,41.505
6.932,9.217,188.418,489.54
5.518,2,191.617,743.807
6.472,3.965,191.019,410.094
7.953,7.02,189.979,253.154
11.438,9.1,186.896,178.024
9.988,1.617,189.571,843.675
10.968,3.573,189.298,378.245
13.94,9.7,186.642,59.092
7.808,11.017,188.022,449.082
5.842,2.685,191.732,1274.654
6.608,4.245,191.171,380.682
7.858,6.88,190.372,303.076
10.79,7.79,187.052,50.219
9.117,-0.133,190.025,123.499
11.295,4.27,189.322,591.8
12.152,15.322,190.218,69.514
13.678,18.552,191.287,50.437
14.57,20.46,191.175,80.667
16.035,23.123,191.506,371.241
15.278,16.708,183.99,192.55
14.562,10.755,189.547,62.839
17.07,15.793,189.38,6.393
18.2,18.128,190.361,132.162
20.41,22.785,189.583,292.662
6.538,12.848,189.936,614.369
7.835,15.532,190.145,182.828
9.1,18.157,190.543,65.078
9.86,19.672,190.206,9.577
10.085,20.11,190.286,4.444
11.17,22.14,191.837,149.116
12.755,25.215,192.018,292.808
14.285,28.352,190.77,83.079
13.023,21.512,185.263,104.847
11.39,13.848,189.282,103.929
12.838,16.898,190.882,43.262
14.258,19.902,190.891,103.797
15.735,22.587,191.583,376.951
17.718,26.31,189.704,126.187
15.312,16.97,183.094,179.006
14.402,10.575,189.46,64.548
17.348,16.43,189.627,4.649
18.575,18.988,190.353,193.606
19.682,21.37,190.175,329.047
6.848,13.518,190.617,748.118
8.363,16.635,189.607,92.143
9.217,18.372,190.42,66.985
10.085,20.092,190.267,7.594
10.938,21.73,191.149,49.143
12.31,24.432,192.052,317.617
11.233,17.875,185.644,210.409
9.758,10.517,188.867,324.092
11.28,13.58,189.892,140.483
12.76,16.657,190.018,58.316
13.588,18.413,190.112,4.235
15.015,21.127,191.6,226.997
16.875,24.632,190.885,335.623
17.933,26.683,189.324,41.151
15.235,16.742,183.533,179.071
14.2,10.115,189.04,68.243
17.25,16.18,190.007,33.715
18.895,19.632,190.365,200.64
20.807,23.682,189.374,234.52
8.023,2.61,191.067,346.219
8.988,4.532,190.498,289.043
10.012,6.695,189.841,194.021
12.758,7.268,187.844,235.452
11.085,-0.655,190.367,284.39
12.282,1.742,189.873,273.164
13.137,3.485,189.458,240.384
15.812,8.977,186.656,12.138
3.478,2.295,193.062,867.938
4.245,3.848,192.757,541.197
4.815,4.96,192.259,336.748
7.078,9.565,190.925,451.583
9.158,9.192,189.095,474.872
6.91,0.41,192.98,614.838
7.897,2.407,192.89,56.887
8.78,4.188,192.205,535.213
9.845,6.345,191.433,621.368
11.185,9.162,190.611,133.601
13.517,8.827,187.526,329.724
11.753,0.69,191.139,954.626
13.155,3.535,190.709,799.853
14.545,6.332,190.159,412.625
2.48,0.26,193.021,719.907
3.272,1.835,192.303,653.998
4.155,3.617,191.498,436.574
4.79,4.947,190.85,247.758
5.86,7.135,190.126,159.406
8.768,8.51,188.798,617.41
6.037,-1.382,192.804,756.189
6.808,0.167,192.033,587
11.157,4.308,191.881,238.509
11.488,4.978,191.939,216.394
13.682,9.497,191.603,633.372
16.157,14.348,189.251,13.914
18.445,18.693,186.151,10.16
14.23,1.037,192.381,534.157
16.737,6.082,191.596,658.165
20.13,13.115,187.941,4.225
0.745,1.23,194.089,623.573
1.087,1.905,193.96,953.348
1.41,2.567,193.592,700.217
1.622,3.025,193.35,796.576
2.067,3.915,192.873,862.415
2.842,5.47,192.064,703.674
3.59,7.035,191.397,380.975
4.768,9.428,190.532,277.706
6.52,12.82,190.996,671.253
8.372,16.578,190.278,78.179
9.142,18.087,190.51,74.338
9.69,19.205,190.443,19.283
10.425,20.68,191.255,32.04
11.4,22.512,191.906,225.286
12.67,24.975,192.145,280.857
14.2,28.113,190.643,90.973
11.838,19.058,184.125,154.967
10.1,11.168,189.939,261.411
11.455,13.9,189.556,213.459
12.76,16.52,189.406,92.296
13.728,18.45,189.808,13.387
15.343,21.625,190.768,239.866
16.828,24.49,189.757,302.322
15.44,17.475,183.721,197.036
14.335,10.842,190.304,223.709
16.49,15.245,189.641,56.907
16.998,16.395,189.611,7.17
17.803,18.075,190.472,79.407
19.37,20.98,191.246,448.693
21.352,24.702,189.428,212.66
19.425,16.228,183.543,230.435
17.78,8.31,188.43,57.741
19.392,11.598,188.903,54.074
20.663,14.175,189.998,13.603
22.52,18.045,191.267,402.448
24.535,22.275,190.745,295.296
7.715,10.757,188.209,385.355
5.645,2.203,191.864,2557.615
6.53,3.973,191.246,384.631
7.705,6.35,190.519,288.205
8.63,8.302,189.91,118.258
10.3,6.7,188.033,70.093
9.262,0.042,189.914,106.913
11.015,3.55,189.49,706.744
12.78,7.17,189.106,110.945
6.903,8.993,189.084,413.459
5.31,1.512,192.172,358.96
6.408,3.745,191.656,660.312
7.373,5.668,191.211,420.822
8.637,8.28,190.363,339.831
9.593,0.715,190.132,148.393
11.415,4.438,189.522,1399.252
7.628,15.03,190.001,304.888
8.685,17.225,190.397,96.807
9.54,18.962,190.509,73.287
10.098,20.052,190.496,8.656
10.748,21.3,191.188,34.74
11.732,23.145,192.011,292.844
12.482,24.612,191.966,403.599
13.402,26.435,191.772,189.877
11.668,18.602,184.996,199.494
10.422,11.81,189.831,263.552
6.97,4.64,192.145,677.858
9.023,8.82,191.497,129.685
13.247,17.218,188.413,63.984
12.045,10.39,187.43,248.772
9.625,1.185,191.989,390.204
10.288,2.52,191.882,327.285
10.52,2.958,191.909,377.801
10.74,3.412,191.899,372.791
10.943,3.865,191.889,366.921
12.058,15.07,189.809,91.932
13.08,17.263,190.544,46.939
15.018,21.142,191.865,233.228
16.895,24.642,190.921,389.216
18.05,26.885,189.378,8.24
16.33,18.905,184.141,184.602
14.788,11.207,188.431,64.48
16.845,15.302,189.943,33.441
18.608,18.94,190.373,162.178
19.913,21.71,190.249,360.583
11.545,14,189.611,132.664
13.125,17.267,190.626,49.054
14.508,20.248,191.094,73.717
16.278,23.553,191.552,366.535
17.858,26.442,189.628,67.664
16.035,18.238,184.578,190.242
15.01,11.605,188.747,66.628
17.065,15.73,189.727,29.964
18.93,19.618,190.537,173.302
20.34,22.582,189.886,395.382
6.782,13.258,190.444,776.418
8.51,16.773,190.332,139.576
9.678,19.178,190.658,67.849
10.332,20.5,190.271,5.086
10.975,21.713,191.05,43.744
12.04,23.792,192.124,333.104
13.598,26.843,191.641,188.272
12.08,19.45,184.909,191.655
10.308,11.585,189.088,305.853
7.36,1.243,192.006,527.245
8.245,3.013,191.308,365.866
9.51,5.625,190.334,327.328
12.565,6.79,188.469,284.291
10.875,-1.125,190.787,383.864
11.74,0.64,190.367,243.036
13.46,4.1,189.469,250.357
3.81,2.92,193.011,896.885
4.255,3.812,192.867,666.895
4.935,5.148,192.637,476.113
7.04,9.47,191.431,37.138
8.87,13.07,190.399,346.707
11.305,17.85,187.692,10.867
9.68,10.23,189.115,567.978
7.472,1.475,192.973,599.284
8.133,2.812,193.129,437.554
1.518,2.805,193.228,832.467
1.878,3.442,193.599,775.448
2.095,3.875,193.841,565.694
2.54,4.768,194.107,596.674
2.99,5.668,193.877,478.048
3.208,6.108,193.631,682.098
3.433,6.55,193.386,843.495
3.87,7.442,192.939,814.99
4.492,8.785,192.397,579.092
5.36,10.512,191.793,546.608
5.523,10.915,191.831,969.458
7.208,14.23,193.823,966.712
7.72,15.35,194.621,764.85
7.915,15.768,195.044,819.366
8.128,16.165,195.466,993.352
8.575,17.023,195.77,845.074
9.005,17.907,195.555,908.291
9.207,18.368,195.342,691.409
9.433,18.805,195.191,272.201
9.65,19.208,195.127,28.797
10.517,20.908,194.865,2.068
11.812,23.438,196.961,3.312
12.01,23.8,197.329,107.091
12.425,24.608,197.958,450.904
12.858,25.45,198.185,1083.515
13.1,25.863,198.034,337.626
13.345,26.305,197.788,149.892
13.652,26.955,197.429,108.492
15.262,30.157,192.916,146.967
16.792,33.105,195.317,267.613
17.51,34.57,195.712,118.558
17.9,35.332,195.663,104.151
18.118,35.715,195.678,75.308
18.328,36.11,195.684,20.821
18.72,36.945,195.615,48.591
19.095,37.828,195.178,42.814
19.298,38.282,194.929,40.42
10.33,11.89,191.693,400.235
13.178,17.553,194.261,141.178
16.645,24.447,192.334,5.065
15.155,16.982,189.638,15.233
13.72,9.725,192.106,341.667
15.76,13.892,194.848,583.136
16.085,14.53,195.336,648.508
16.295,14.985,195.586,696.61
16.69,15.907,195.924,370.73
6.61,4.25,191.786,1545.284
8.49,7.982,192.459,346.986
10.322,11.707,192.029,935.739
13.477,17.995,188.858,8.658
12.7,11.977,188.969,282.102
10.188,2.53,192.815,600.535
10.972,4.09,193.706,509.515
11.192,4.545,193.961,372.13
11.617,5.435,194.247,383.639
12.052,6.327,194.052,258.062
1.18,2.105,193.329,1090.942
1.435,2.522,193.578,780.613
1.665,2.985,193.841,646.468
2.095,3.875,194.094,694.259
2.54,4.768,193.856,608.27
2.777,5.21,193.615,777.305
2.995,5.65,193.369,889.215
3.435,6.545,192.903,956.816
4.293,8.308,192.223,629.166
5.778,11.325,191.219,445.687
15.842,23.005,196.223,58.034
17.645,26.482,196.234,538.328
19.1,29.39,194.282,455.052
16.737,20.335,191.502,210.899
16.225,15.092,193.044,4.052
18.872,20.56,196.889,17.607
19.262,21.365,197.722,817.73
19.468,21.785,198.16,1319.783
19.942,22.582,198.718,1007.647
6.628,13.168,191.245,53.909
8.61,17.1,193.87,105.421
9.335,18.573,195.053,242.193
9.68,19.23,195.439,355.215
9.908,19.712,195.715,172.925
10.328,20.575,196.172,119.305
10.763,21.42,196.245,56.418
10.96,21.782,196.201,6.009
8.865,17.472,191.803,16.415
11.613,22.925,195.495,3.279
12.693,25.058,197.195,62.341
13.1,25.863,198.034,334.733
13.3,26.267,198.479,848.098
13.768,27.11,198.921,809.725
14.238,27.955,198.745,966.901
14.428,28.387,198.509,1042.984
14.637,28.837,198.214,1102.884
14.945,29.46,197.562,1069.107
15.332,21.508,189.084,5.308
19.145,29.04,194.14,252.091
20.63,31.905,195.159,124.462
21.852,34.392,194.287,95.19
19.292,24.87,189.48,75.332
19.442,20.775,190.555,76.673
22.965,27.918,195.761,213.5
23.668,29.218,196.21,187.961
24.368,30.492,196.532,141.322
24.593,30.875,196.528,144.454
15.435,21.672,188.449,6.839
19.248,29.205,193.542,387.126
21.12,32.868,194.542,105.571
22.343,35.355,193.762,210.193
19.495,25.245,189.205,33.45
19.078,20.165,189.124,7.291
22.747,27.528,194.462,244.089
24.017,29.812,195.894,212.104
24.57,30.868,196.084,133.158
24.795,31.25,196.081,112.916
0.963,1.662,193.575,948.569
1.218,2.08,193.825,554.96
1.665,2.985,194.082,654.197
2.095,3.875,193.841,565.413
2.323,4.325,193.609,819.887
2.56,4.768,193.368,856.905
2.902,5.43,192.998,903.119
3.962,7.612,192.182,676.931
5,9.755,191.402,538.171
6.64,12.922,190.431,153.987
13.267,17.753,192.818,35.818
17.48,26.1,196.532,381.277
17.115,20.952,191.733,420.441
16.602,15.71,193.038,6.471
19.235,21.137,196.955,242.865
19.737,22.175,198.026,809.984
19.942,22.582,198.471,907.978
20.415,23.37,198.896,916.996
9.255,9.515,192.582,302.602
10.637,12.372,192.218,826.358
13.475,18.012,189.265,12.102
13.24,13.102,189.628,403.866
10.967,4.095,193.241,547.147
11.415,4.982,193.751,473.006
11.617,5.435,194.001,295.297
12.052,6.327,194.296,350.114
12.502,7.207,194.121,277.129
6.942,13.787,191.326,5.8
9.023,17.952,194.088,11.953
9.793,19.462,195.273,32.348
10.125,20.115,195.652,23.783
10.327,20.575,195.94,98.326
10.762,21.42,196.47,77.047
11.178,22.185,196.594,131.796
11.392,22.588,196.559,4.692
12.21,24.205,197.324,41.895
12.425,24.608,197.744,579.259
12.858,25.45,198.423,564.117
13.3,26.267,198.479,855.01
13.545,26.71,198.234,461.886
13.773,27.143,197.99,351.335
13.963,27.575,197.754,274.976
15.785,31.302,192.518,227.476
17.067,33.785,194.675,547.771
17.895,35.43,195.07,196.816
18.523,36.627,195.121,152.546
18.733,37.022,195.127,35.51
18.913,37.408,195.109,49.595
19.095,37.828,195.178,43.306
19.51,38.733,195.379,64.542
16.645,28.627,189.556,69.373
0.745,1.23,193.817,715.617
1.218,2.08,194.068,738.019
1.665,2.985,193.841,645.799
1.878,3.442,193.599,774.244
2.105,3.893,193.367,917.719
2.567,4.778,192.88,868.663
3.32,6.327,192.094,685.273
4.358,8.47,191.314,369.046
6.178,12.047,190.434,137.927
13.425,17.887,192.462,64.911
16.93,24.77,196.731,402.523
17.927,26.72,197.184,694.389
19.458,29.857,195.247,1598.894
17.702,22.005,191.595,391.002
19.73,21.95,197.172,286.22
20.218,22.968,198.244,454.739
20.415,23.37,198.671,1068.739
20.942,24.202,199.002,940.694
9.475,9.965,192.684,281.12
10.858,12.822,192.443,1288.044
13.812,18.677,189.41,16.765
13.055,12.633,188.907,178.154
10.762,3.64,192.524,539.674
11.838,5.885,193.788,393.473
12.052,6.327,194.052,258.129
12.502,7.207,194.377,344.878
12.948,8.092,194.206,282.325
12.28,15.94,192.37,16.616
15.785,22.823,196.124,139.397
17.157,25.525,195.91,281.755
18.273,27.758,194.138,338.416
15.925,18.607,191.124,124.127
15.43,13.368,192.497,3.246
18.667,20.165,197.344,69.606
19.065,20.963,197.999,574.543
18.028,8.875,191.755,19.844
20.485,13.92,194.112,9.923
21.532,6.52,192.175,33.466
15.37,21.5,190.705,1368.401
19.49,29.655,195.46,2203.264
20.56,31.713,195.494,750.803
21.272,33.123,194.732,459.545
18.712,23.6,190.166,357.86
18.9,19.798,191.324,251.134
22.57,27.16,196.663,869.691
23.2,28.238,197.229,911.576
23.528,28.913,197.431,1872.698
23.765,29.298,197.43,1461.367
0.745,1.23,194.089,624.733
1.218,2.08,193.825,556.755
1.435,2.522,193.578,783.245
1.648,2.98,193.336,774.945
2.218,4.093,192.734,773.027
2.895,5.43,192.026,583.05
3.628,6.97,191.471,354.896
4.795,9.375,190.552,283.588
20.945,23.515,191.87,143.988
9.67,0.982,190.172,175.327
16.095,13.85,187.049,18.775
15.543,8.27,188.095,325.899
13.465,-0.28,192.04,561.92
15.75,4.332,191.594,1353.338
18.125,9.002,190.479,262.712
18.652,5.32,189.692,579.655
13.94,18.773,192.039,37.935
17.672,26.088,196.564,535.51
20.158,30.995,194.957,486.045
17.803,21.985,192.01,356.272
18.005,18.23,193.498,107.381
20.733,23.852,197.735,173.506
20.93,24.255,198.163,520.487
21.2,24.645,198.501,711.815
21.475,25.03,198.746,968.713
17.192,16.03,191.672,140.04
20.26,17.74,190.213,67.091
23.183,19.372,196.129,92.056
24.952,22.678,195.59,806.829
26.377,25.392,193.657,132.489
23.77,15.652,191.085,119.519
16.268,23.323,187.914,12.781
20.08,30.855,193.103,799.564
21.358,33.388,194.249,606.934
22.27,35.197,193.898,287.833
23.082,36.87,193.612,288.364
20.13,26.532,188.753,100.142
19.523,21.03,187.763,4.565
22.935,27.95,192.843,300.817
24.503,30.855,194.703,403.645
25.515,32.752,195.16,182.529
16.505,14.8,191.099,1742.847
20.625,22.955,193.97,410.119
22.913,27.522,192.906,2224.953
20.652,18.605,190.394,208.8
23.56,20.213,196.574,355.416
26.445,25.568,194.085,328.148
23.992,16.048,191.747,412.784
23.488,10.537,192.581,7.368
18.232,18.485,190.799,857.674
22.26,26.427,194.655,788.118
23.915,29.762,193.67,312.987
21.747,21.058,190.112,439.783
21.347,15.99,191.278,39.301
25.257,23.795,195.764,112.774
26.852,26.665,196.289,810.876
27.887,28.705,194.672,828.238
25.492,19.382,190.606,640.765
24.913,13.63,191.354,23.181
18.843,19.697,189.658,343.393
22.963,27.852,193.705,751.686
