num,x,y,z
1,0,0,0
2,0,2,0
3,0,4,0
4,0,6,0
5,0,8,0
6,0,10,0
7,0,12,0
8,0,14,0
9,0,16,0
10,0,18,0
11,0,20,0
12,0,22,0
13,2,22,0
14,2,20,0
15,2,18,0
16,2,16,0
17,2,14,0
18,2,12,0
19,2,10,0
20,2,8,0
21,2,6,0
22,2,4,0
23,2,2,0
24,2,0,0
25,4,0,0
26,4,2,0
27,4,4,0
28,4,6,0
29,4,8,0
30,4,10,0
31,4,12,0
32,4,14,0
33,4,16,0
34,4,18,0
35,4,20,0
36,4,22,0
37,6,22,0
38,6,20,0
39,6,18,0
40,6,16,0
41,6,14,0
42,6,12,0
43,6,10,0
44,6,8,0
45,6,6,0
46,6,4,0
47,6,2,0
48,6,0,0
49,8,0,0
50,8,2,0
51,8,4,0
52,8,6,0
53,8,8,0
54,8,10,0
55,8,12,0
56,8,14,0
57,8,16,0
58,8,18,0
59,8,20,0
60,8,22,0
61,10,22,0
62,10,20,0
63,10,18,0
64,10,16,0
65,10,14,0
66,10,12,0
67,10,10,0
68,10,8,0
69,10,6,0
70,10,4,0
71,10,2,0
72,10,0,0
73,12,0,0
74,12,2,0
75,12,4,0
76,12,6,0
77,12,8,0
78,12,10,0
79,12,12,0
80,12,14,0
81,12,16,0
82,12,18,0
83,12,20,0
84,12,22,0
85,14,22,0
86,14,20,0
87,14,18,0
88,14,16,0
89,14,14,0
90,14,12,0
91,14,10,0
92,14,8,0
93,14,6,0
94,14,4,0
95,14,2,0
96,14,0,0
97,16,0,0
98,16,2,0
99,16,4,0
100,16,6,0
101,16,8,0
102,16,10,0
103,16,12,0
104,16,14,0
105,16,16,0
106,16,18,0
107,16,20,0
108,16,22,0
109,18,22,0
110,18,20,0
111,18,18,0
112,18,16,0
113,18,14,0
114,18,12,0
115,18,10,0
116,18,8,0
117,18,6,0
118,18,4,0
119,18,2,0
120,18,0,0
121,20,0,0
122,20,2,0
123,20,4,0
124,20,6,0
125,20,8,0
126,20,10,0
127,20,12,0
128,20,14,0
129,20,16,0
130,20,18,0
131,20,20,0
132,20,22,0
133,22,22,0
134,22,20,0
135,22,18,0
136,22,16,0
137,22,14,0
138,22,12,0
139,22,10,0
140,22,8,0
141,22,6,0
142,22,4,0
143,22,2,0
144,22,0,0
