A,B,M,N
37,38,48,49
38,39,48,49
38,39,49,50
39,40,48,49
39,40,49,50
39,40,50,51
40,41,42,43
40,41,43,44
40,41,44,45
40,41,45,46
40,41,46,47
40,41,47,48
40,41,48,49
40,41,49,50
40,41,50,51
40,41,51,52
41,42,43,44
41,42,44,45
41,42,45,46
41,42,46,47
41,42,47,48
41,42,48,49
41,42,49,50
41,42,50,51
41,42,51,52
41,42,52,53
42,43,44,45
42,43,45,46
42,43,46,47
42,43,47,48
42,43,48,49
42,43,49,50
42,43,50,51
42,43,51,52
42,43,52,53
42,43,53,54
43,44,45,46
43,44,46,47
43,44,47,48
43,44,48,49
43,44,49,50
43,44,50,51
43,44,51,52
43,44,52,53
43,44,53,54
43,44,54,55
44,45,46,47
44,45,47,48
44,45,48,49
44,45,49,50
44,45,50,51
44,45,51,52
44,45,52,53
44,45,53,54
44,45,54,55
44,45,55,56
45,46,47,48
45,46,48,49
45,46,49,50
45,46,50,51
45,46,51,52
45,46,52,53
45,46,53,54
45,46,54,55
45,46,55,56
45,46,56,57
46,47,48,49
46,47,49,50
46,47,50,51
46,47,51,52
46,47,52,53
46,47,53,54
46,47,54,55
46,47,55,56
46,47,56,57
46,47,57,58
47,48,49,50
47,48,50,51
47,48,51,52
47,48,52,53
47,48,53,54
47,48,54,55
47,48,55,56
47,48,56,57
47,48,57,58
47,48,58,59
48,49,50,51
48,49,51,52
48,49,52,53
48,49,53,54
48,49,54,55
48,49,55,56
48,49,56,57
48,49,57,58
48,49,58,59
48,49,59,60
49,50,51,52
49,50,52,53
49,50,53,54
49,50,54,55
49,50,55,56
49,50,56,57
49,50,57,58
49,50,58,59
49,50,59,60
49,50,60,61
50,51,52,53
50,51,53,54
50,51,54,55
50,51,55,56
50,51,56,57
50,51,57,58
50,51,58,59
50,51,59,60
50,51,60,61
50,51,61,62
51,52,53,54
51,52,54,55
51,52,55,56
51,52,56,57
51,52,57,58
51,52,58,59
51,52,59,60
51,52,60,61
51,52,61,62
51,52,62,63
52,53,54,55
52,53,55,56
52,53,56,57
52,53,57,58
52,53,58,59
52,53,59,60
52,53,60,61
52,53,61,62
52,53,62,63
52,53,63,64
53,54,55,56
53,54,56,57
53,54,57,58
53,54,58,59
53,54,59,60
53,54,60,61
53,54,61,62
53,54,62,63
53,54,63,64
53,54,64,65
54,55,56,57
54,55,57,58
54,55,58,59
54,55,59,60
54,55,60,61
54,55,61,62
54,55,62,63
54,55,63,64
54,55,64,65
54,55,65,66
55,56,57,58
55,56,58,59
55,56,59,60
55,56,60,61
55,56,61,62
55,56,62,63
55,56,63,64
55,56,64,65
55,56,65,66
55,56,66,67
56,57,58,59
56,57,59,60
56,57,60,61
56,57,61,62
56,57,62,63
56,57,63,64
56,57,64,65
56,57,65,66
56,57,66,67
56,57,67,68
57,58,59,60
57,58,60,61
57,58,61,62
57,58,62,63
57,58,63,64
57,58,64,65
57,58,65,66
57,58,66,67
57,58,67,68
57,58,68,69
58,59,60,61
58,59,61,62
58,59,62,63
58,59,63,64
58,59,64,65
58,59,65,66
58,59,66,67
58,59,67,68
58,59,68,69
58,59,69,70
59,60,61,62
59,60,62,63
59,60,63,64
59,60,64,65
59,60,65,66
59,60,66,67
59,60,67,68
59,60,68,69
59,60,69,70
59,60,70,71
60,61,62,63
60,61,63,64
60,61,64,65
60,61,65,66
60,61,66,67
60,61,67,68
60,61,68,69
60,61,69,70
60,61,70,71
60,61,71,72
61,62,63,64
61,62,64,65
61,62,65,66
61,62,66,67
61,62,67,68
61,62,68,69
61,62,69,70
61,62,70,71
61,62,71,72
62,63,64,65
62,63,65,66
62,63,66,67
62,63,67,68
62,63,68,69
62,63,69,70
62,63,70,71
62,63,71,72
63,64,65,66
63,64,66,67
63,64,67,68
63,64,68,69
63,64,69,70
63,64,70,71
63,64,71,72
25,27,47,49
26,28,48,50
27,29,47,49
27,29,49,51
28,30,48,50
28,30,50,52
29,31,47,49
29,31,49,51
29,31,51,53
30,32,48,50
30,32,50,52
30,32,52,54
31,33,35,37
31,33,37,39
31,33,39,41
31,33,41,43
31,33,43,45
31,33,45,47
31,33,47,49
31,33,49,51
31,33,51,53
31,33,53,55
32,34,36,38
32,34,38,40
32,34,40,42
32,34,42,44
32,34,44,46
32,34,46,48
32,34,48,50
32,34,50,52
32,34,52,54
32,34,54,56
33,35,37,39
33,35,39,41
33,35,41,43
33,35,43,45
33,35,45,47
33,35,47,49
33,35,49,51
33,35,51,53
33,35,53,55
33,35,55,57
34,36,38,40
34,36,40,42
34,36,42,44
34,36,44,46
34,36,46,48
34,36,48,50
34,36,50,52
34,36,52,54
34,36,54,56
34,36,56,58
35,37,39,41
35,37,41,43
35,37,43,45
35,37,45,47
35,37,47,49
35,37,49,51
35,37,51,53
35,37,53,55
35,37,55,57
35,37,57,59
36,38,40,42
36,38,42,44
36,38,44,46
36,38,46,48
36,38,48,50
36,38,50,52
36,38,52,54
36,38,54,56
36,38,56,58
36,38,58,60
37,39,41,43
37,39,43,45
37,39,45,47
37,39,47,49
37,39,49,51
37,39,51,53
37,39,53,55
37,39,55,57
37,39,57,59
37,39,59,61
38,40,42,44
38,40,44,46
38,40,46,48
38,40,48,50
38,40,50,52
38,40,52,54
38,40,54,56
38,40,56,58
38,40,58,60
38,40,60,62
39,41,43,45
39,41,45,47
39,41,47,49
39,41,49,51
39,41,51,53
39,41,53,55
39,41,55,57
39,41,57,59
39,41,59,61
39,41,61,63
40,42,44,46
40,42,46,48
40,42,48,50
40,42,50,52
40,42,52,54
40,42,54,56
40,42,56,58
40,42,58,60
40,42,60,62
40,42,62,64
41,43,45,47
41,43,47,49
41,43,49,51
41,43,51,53
41,43,53,55
41,43,55,57
41,43,57,59
41,43,59,61
41,43,61,63
41,43,63,65
42,44,46,48
42,44,48,50
42,44,50,52
42,44,52,54
42,44,54,56
42,44,56,58
42,44,58,60
42,44,60,62
42,44,62,64
42,44,64,66
43,45,47,49
43,45,49,51
43,45,51,53
43,45,53,55
43,45,55,57
43,45,57,59
43,45,59,61
43,45,61,63
43,45,63,65
43,45,65,67
44,46,48,50
44,46,50,52
44,46,52,54
44,46,54,56
44,46,56,58
44,46,58,60
44,46,60,62
44,46,62,64
44,46,64,66
44,46,66,68
45,47,49,51
45,47,51,53
45,47,53,55
45,47,55,57
45,47,57,59
45,47,59,61
45,47,61,63
45,47,63,65
45,47,65,67
45,47,67,69
46,48,50,52
46,48,52,54
46,48,54,56
46,48,56,58
46,48,58,60
46,48,60,62
46,48,62,64
46,48,64,66
46,48,66,68
46,48,68,70
47,49,51,53
47,49,53,55
47,49,55,57
47,49,57,59
47,49,59,61
47,49,61,63
47,49,63,65
47,49,65,67
47,49,67,69
47,49,69,71
48,50,52,54
48,50,54,56
48,50,56,58
48,50,58,60
48,50,60,62
48,50,62,64
48,50,64,66
48,50,66,68
48,50,68,70
48,50,70,72
49,51,53,55
49,51,55,57
49,51,57,59
49,51,59,61
49,51,61,63
49,51,63,65
49,51,65,67
49,51,67,69
49,51,69,71
50,52,54,56
50,52,56,58
50,52,58,60
50,52,60,62
50,52,62,64
50,52,64,66
50,52,66,68
50,52,68,70
50,52,70,72
51,53,55,57
51,53,57,59
51,53,59,61
51,53,61,63
51,53,63,65
51,53,65,67
51,53,67,69
51,53,69,71
52,54,56,58
52,54,58,60
52,54,60,62
52,54,62,64
52,54,64,66
52,54,66,68
52,54,68,70
52,54,70,72
53,55,57,59
53,55,59,61
53,55,61,63
53,55,63,65
53,55,65,67
53,55,67,69
53,55,69,71
54,56,58,60
54,56,60,62
54,56,62,64
54,56,64,66
54,56,66,68
54,56,68,70
54,56,70,72
13,16,46,49
14,17,47,50
15,18,48,51
16,19,46,49
16,19,49,52
17,20,47,50
17,20,50,53
18,21,48,51
18,21,51,54
19,22,46,49
19,22,49,52
19,22,52,55
20,23,47,50
20,23,50,53
20,23,53,56
21,24,48,51
21,24,51,54
21,24,54,57
22,25,28,31
22,25,31,34
22,25,34,37
22,25,37,40
22,25,40,43
22,25,43,46
22,25,46,49
22,25,49,52
22,25,52,55
22,25,55,58
23,26,29,32
23,26,32,35
23,26,35,38
23,26,38,41
23,26,41,44
23,26,44,47
23,26,47,50
23,26,50,53
23,26,53,56
23,26,56,59
24,27,30,33
24,27,33,36
24,27,36,39
24,27,39,42
24,27,42,45
24,27,45,48
24,27,48,51
24,27,51,54
24,27,54,57
24,27,57,60
25,28,31,34
25,28,34,37
25,28,37,40
25,28,40,43
25,28,43,46
25,28,46,49
25,28,49,52
25,28,52,55
25,28,55,58
25,28,58,61
26,29,32,35
26,29,35,38
26,29,38,41
26,29,41,44
26,29,44,47
26,29,47,50
26,29,50,53
26,29,53,56
26,29,56,59
26,29,59,62
27,30,33,36
27,30,36,39
27,30,39,42
27,30,42,45
27,30,45,48
27,30,48,51
27,30,51,54
27,30,54,57
27,30,57,60
27,30,60,63
28,31,34,37
28,31,37,40
28,31,40,43
28,31,43,46
28,31,46,49
28,31,49,52
28,31,52,55
28,31,55,58
28,31,58,61
28,31,61,64
29,32,35,38
29,32,38,41
29,32,41,44
29,32,44,47
29,32,47,50
29,32,50,53
29,32,53,56
29,32,56,59
29,32,59,62
29,32,62,65
30,33,36,39
30,33,39,42
30,33,42,45
30,33,45,48
30,33,48,51
30,33,51,54
30,33,54,57
30,33,57,60
30,33,60,63
30,33,63,66
31,34,37,40
31,34,40,43
31,34,43,46
31,34,46,49
31,34,49,52
31,34,52,55
31,34,55,58
31,34,58,61
31,34,61,64
31,34,64,67
32,35,38,41
32,35,41,44
32,35,44,47
32,35,47,50
32,35,50,53
32,35,53,56
32,35,56,59
32,35,59,62
32,35,62,65
32,35,65,68
33,36,39,42
33,36,42,45
33,36,45,48
33,36,48,51
33,36,51,54
33,36,54,57
33,36,57,60
33,36,60,63
33,36,63,66
33,36,66,69
34,37,40,43
34,37,43,46
34,37,46,49
34,37,49,52
34,37,52,55
34,37,55,58
34,37,58,61
34,37,61,64
34,37,64,67
34,37,67,70
35,38,41,44
35,38,44,47
35,38,47,50
35,38,50,53
35,38,53,56
35,38,56,59
35,38,59,62
35,38,62,65
35,38,65,68
35,38,68,71
36,39,42,45
36,39,45,48
36,39,48,51
36,39,51,54
36,39,54,57
36,39,57,60
36,39,60,63
36,39,63,66
36,39,66,69
36,39,69,72
37,40,43,46
37,40,46,49
37,40,49,52
37,40,52,55
37,40,55,58
37,40,58,61
37,40,61,64
37,40,64,67
37,40,67,70
38,41,44,47
38,41,47,50
38,41,50,53
38,41,53,56
38,41,56,59
38,41,59,62
38,41,62,65
38,41,65,68
38,41,68,71
39,42,45,48
39,42,48,51
39,42,51,54
39,42,54,57
39,42,57,60
39,42,60,63
39,42,63,66
39,42,66,69
39,42,69,72
40,43,46,49
40,43,49,52
40,43,52,55
40,43,55,58
40,43,58,61
40,43,61,64
40,43,64,67
40,43,67,70
41,44,47,50
41,44,50,53
41,44,53,56
41,44,56,59
41,44,59,62
41,44,62,65
41,44,65,68
41,44,68,71
42,45,48,51
42,45,51,54
42,45,54,57
42,45,57,60
42,45,60,63
42,45,63,66
42,45,66,69
42,45,69,72
43,46,49,52
43,46,52,55
43,46,55,58
43,46,58,61
43,46,61,64
43,46,64,67
43,46,67,70
44,47,50,53
44,47,53,56
44,47,56,59
44,47,59,62
44,47,62,65
44,47,65,68
44,47,68,71
45,48,51,54
45,48,54,57
45,48,57,60
45,48,60,63
45,48,63,66
45,48,66,69
45,48,69,72
1,5,45,49
2,6,46,50
3,7,47,51
4,8,48,52
5,9,45,49
5,9,49,53
6,10,46,50
6,10,50,54
7,11,47,51
7,11,51,55
8,12,48,52
8,12,52,56
9,13,45,49
9,13,49,53
9,13,53,57
10,14,46,50
10,14,50,54
10,14,54,58
11,15,47,51
11,15,51,55
11,15,55,59
12,16,48,52
12,16,52,56
12,16,56,60
13,17,21,25
13,17,25,29
13,17,29,33
13,17,33,37
13,17,37,41
13,17,41,45
13,17,45,49
13,17,49,53
13,17,53,57
13,17,57,61
14,18,22,26
14,18,26,30
14,18,30,34
14,18,34,38
14,18,38,42
14,18,42,46
14,18,46,50
14,18,50,54
14,18,54,58
14,18,58,62
15,19,23,27
15,19,27,31
15,19,31,35
15,19,35,39
15,19,39,43
15,19,43,47
15,19,47,51
15,19,51,55
15,19,55,59
15,19,59,63
16,20,24,28
16,20,28,32
16,20,32,36
16,20,36,40
16,20,40,44
16,20,44,48
16,20,48,52
16,20,52,56
16,20,56,60
16,20,60,64
17,21,25,29
17,21,29,33
17,21,33,37
17,21,37,41
17,21,41,45
17,21,45,49
17,21,49,53
17,21,53,57
17,21,57,61
17,21,61,65
18,22,26,30
18,22,30,34
18,22,34,38
18,22,38,42
18,22,42,46
18,22,46,50
18,22,50,54
18,22,54,58
18,22,58,62
18,22,62,66
19,23,27,31
19,23,31,35
19,23,35,39
19,23,39,43
19,23,43,47
19,23,47,51
19,23,51,55
19,23,55,59
19,23,59,63
19,23,63,67
20,24,28,32
20,24,32,36
20,24,36,40
20,24,40,44
20,24,44,48
20,24,48,52
20,24,52,56
20,24,56,60
20,24,60,64
20,24,64,68
21,25,29,33
21,25,33,37
21,25,37,41
21,25,41,45
21,25,45,49
21,25,49,53
21,25,53,57
21,25,57,61
21,25,61,65
21,25,65,69
22,26,30,34
22,26,34,38
22,26,38,42
22,26,42,46
22,26,46,50
22,26,50,54
22,26,54,58
22,26,58,62
22,26,62,66
22,26,66,70
23,27,31,35
23,27,35,39
23,27,39,43
23,27,43,47
23,27,47,51
23,27,51,55
23,27,55,59
23,27,59,63
23,27,63,67
23,27,67,71
24,28,32,36
24,28,36,40
24,28,40,44
24,28,44,48
24,28,48,52
24,28,52,56
24,28,56,60
24,28,60,64
24,28,64,68
24,28,68,72
25,29,33,37
25,29,37,41
25,29,41,45
25,29,45,49
25,29,49,53
25,29,53,57
25,29,57,61
25,29,61,65
25,29,65,69
26,30,34,38
26,30,38,42
26,30,42,46
26,30,46,50
26,30,50,54
26,30,54,58
26,30,58,62
26,30,62,66
26,30,66,70
27,31,35,39
27,31,39,43
27,31,43,47
27,31,47,51
27,31,51,55
27,31,55,59
27,31,59,63
27,31,63,67
27,31,67,71
28,32,36,40
28,32,40,44
28,32,44,48
28,32,48,52
28,32,52,56
