num,x,y,z
1,0,0,0
2,0,1,0
3,0,2,0
4,0,3,0
5,0,4,0
6,0,5,0
7,0,6,0
8,0,7,0
9,0,8,0
10,0,9,0
11,0,10,0
12,0,11,0
13,0,12,0
14,0,13,0
15,0,14,0
16,0,15,0
17,0,16,0
18,0,17,0
19,0,18,0
20,0,19,0
21,0,20,0
22,0,21,0
23,0,22,0
24,0,23,0
25,0,24,0
26,0,25,0
27,0,26,0
28,0,27,0
29,0,28,0
30,0,29,0
31,0,30,0
32,0,31,0
33,0,32,0
34,0,33,0
35,0,34,0
36,0,35,0
37,0,36,0
38,0,37,0
39,0,38,0
40,0,39,0
41,0,40,0
42,0,41,0
43,0,42,0
44,0,43,0
45,0,44,0
46,0,45,0
47,0,46,0
48,0,47,0
49,8,0,0
50,8,1,0
51,8,2,0
52,8,3,0
53,8,4,0
54,8,5,0
55,8,6,0
56,8,7,0
57,8,8,0
58,8,9,0
59,8,10,0
60,8,11,0
61,8,12,0
62,8,13,0
63,8,14,0
64,8,15,0
65,8,16,0
66,8,17,0
67,8,18,0
68,8,19,0
69,8,20,0
70,8,21,0
71,8,22,0
72,8,23,0
73,8,24,0
74,8,25,0
75,8,26,0
76,8,27,0
77,8,28,0
78,8,29,0
79,8,30,0
80,8,31,0
81,8,32,0
82,8,33,0
83,8,34,0
84,8,35,0
85,8,36,0
86,8,37,0
87,8,38,0
88,8,39,0
89,8,40,0
90,8,41,0
91,8,42,0
92,8,43,0
93,8,44,0
94,8,45,0
95,8,46,0
96,8,47,0
97,16,0,0
98,16,1,0
99,16,2,0
100,16,3,0
101,16,4,0
102,16,5,0
103,16,6,0
104,16,7,0
105,16,8,0
106,16,9,0
107,16,10,0
108,16,11,0
109,16,12,0
110,16,13,0
111,16,14,0
112,16,15,0
113,16,16,0
114,16,17,0
115,16,18,0
116,16,19,0
117,16,20,0
118,16,21,0
119,16,22,0
120,16,23,0
121,16,24,0
122,16,25,0
123,16,26,0
124,16,27,0
125,16,28,0
126,16,29,0
127,16,30,0
128,16,31,0
129,16,32,0
130,16,33,0
131,16,34,0
132,16,35,0
133,16,36,0
134,16,37,0
135,16,38,0
136,16,39,0
137,16,40,0
138,16,41,0
139,16,42,0
140,16,43,0
141,16,44,0
142,16,45,0
143,16,46,0
144,16,47,0
