A,B,M,N
46,49,47,48
47,50,48,49
48,51,49,50
49,52,50,51
50,53,51,52
51,54,52,53
52,55,53,54
53,56,54,55
54,57,55,56
55,58,56,57
56,59,57,58
57,60,58,59
58,61,59,60
59,62,60,61
60,63,61,62
61,64,62,63
62,65,63,64
63,66,64,65
64,67,65,66
65,68,66,67
66,69,67,68
67,70,68,69
68,71,69,70
69,72,70,71
45,49,46,48
46,50,47,49
47,51,48,50
48,52,49,51
49,53,50,52
50,54,51,53
51,55,52,54
52,56,53,55
53,57,54,56
54,58,55,57
55,59,56,58
56,60,57,59
57,61,58,60
58,62,59,61
59,63,60,62
60,64,61,63
61,65,62,64
62,66,63,65
63,67,64,66
64,68,65,67
65,69,66,68
66,70,67,69
67,71,68,70
68,72,69,71
43,49,44,48
43,49,48,45
43,49,45,47
44,50,45,49
44,50,49,46
44,50,46,48
45,51,46,50
45,51,50,47
45,51,47,49
46,52,47,51
46,52,51,48
46,52,48,50
47,53,48,52
47,53,52,49
47,53,49,51
48,54,49,53
48,54,53,50
48,54,50,52
49,55,50,54
49,55,54,51
49,55,51,53
50,56,51,55
50,56,55,52
50,56,52,54
51,57,52,56
51,57,56,53
51,57,53,55
52,58,53,57
52,58,57,54
52,58,54,56
53,59,54,58
53,59,58,55
53,59,55,57
54,60,55,59
54,60,59,56
54,60,56,58
55,61,56,60
55,61,60,57
55,61,57,59
56,62,57,61
56,62,61,58
56,62,58,60
57,63,58,62
57,63,62,59
57,63,59,61
58,64,59,63
58,64,63,60
58,64,60,62
59,65,60,64
59,65,64,61
59,65,61,63
60,66,61,65
60,66,65,62
60,66,62,64
61,67,62,66
61,67,66,63
61,67,63,65
62,68,63,67
62,68,67,64
62,68,64,66
63,69,64,68
63,69,68,65
63,69,65,67
64,70,65,69
64,70,69,66
64,70,66,68
65,71,66,70
65,71,70,67
65,71,67,69
66,72,67,71
66,72,71,68
66,72,68,70
40,49,41,48
40,49,48,42
40,49,42,47
40,49,47,43
40,49,43,46
40,49,46,44
40,49,44,45
41,50,42,49
41,50,49,43
41,50,43,48
41,50,48,44
41,50,44,47
41,50,47,45
41,50,45,46
42,51,43,50
42,51,50,44
42,51,44,49
42,51,49,45
42,51,45,48
42,51,48,46
42,51,46,47
43,52,44,51
43,52,51,45
43,52,45,50
43,52,50,46
43,52,46,49
43,52,49,47
43,52,47,48
44,53,45,52
44,53,52,46
44,53,46,51
44,53,51,47
44,53,47,50
44,53,50,48
44,53,48,49
45,54,46,53
45,54,53,47
45,54,47,52
45,54,52,48
45,54,48,51
45,54,51,49
45,54,49,50
46,55,47,54
46,55,54,48
46,55,48,53
46,55,53,49
46,55,49,52
46,55,52,50
46,55,50,51
47,56,48,55
47,56,55,49
47,56,49,54
47,56,54,50
47,56,50,53
47,56,53,51
47,56,51,52
48,57,49,56
48,57,56,50
48,57,50,55
48,57,55,51
48,57,51,54
48,57,54,52
48,57,52,53
49,58,50,57
49,58,57,51
49,58,51,56
49,58,56,52
49,58,52,55
49,58,55,53
49,58,53,54
50,59,51,58
50,59,58,52
50,59,52,57
50,59,57,53
50,59,53,56
50,59,56,54
50,59,54,55
51,60,52,59
51,60,59,53
51,60,53,58
51,60,58,54
51,60,54,57
51,60,57,55
51,60,55,56
52,61,53,60
52,61,60,54
52,61,54,59
52,61,59,55
52,61,55,58
52,61,58,56
52,61,56,57
53,62,54,61
53,62,61,55
53,62,55,60
53,62,60,56
53,62,56,59
53,62,59,57
53,62,57,58
54,63,55,62
54,63,62,56
54,63,56,61
54,63,61,57
54,63,57,60
54,63,60,58
54,63,58,59
55,64,56,63
55,64,63,57
55,64,57,62
55,64,62,58
55,64,58,61
55,64,61,59
55,64,59,60
56,65,57,64
56,65,64,58
56,65,58,63
56,65,63,59
56,65,59,62
56,65,62,60
56,65,60,61
57,66,58,65
57,66,65,59
57,66,59,64
57,66,64,60
57,66,60,63
57,66,63,61
57,66,61,62
58,67,59,66
58,67,66,60
58,67,60,65
58,67,65,61
58,67,61,64
58,67,64,62
58,67,62,63
59,68,60,67
59,68,67,61
59,68,61,66
59,68,66,62
59,68,62,65
59,68,65,63
59,68,63,64
60,69,61,68
60,69,68,62
60,69,62,67
60,69,67,63
60,69,63,66
60,69,66,64
60,69,64,65
61,70,62,69
61,70,69,63
61,70,63,68
61,70,68,64
61,70,64,67
61,70,67,65
61,70,65,66
62,71,63,70
62,71,70,64
62,71,64,69
62,71,69,65
62,71,65,68
62,71,68,66
62,71,66,67
63,72,64,71
63,72,71,65
63,72,65,70
63,72,70,66
63,72,66,69
63,72,69,67
63,72,67,68
37,49,38,48
37,49,48,39
37,49,39,47
37,49,47,40
37,49,40,46
37,49,46,41
37,49,41,45
37,49,45,42
37,49,42,44
38,50,39,49
38,50,49,40
38,50,40,48
38,50,48,41
38,50,41,47
38,50,47,42
38,50,42,46
38,50,46,43
38,50,43,45
39,51,40,50
39,51,50,41
39,51,41,49
39,51,49,42
39,51,42,48
39,51,48,43
39,51,43,47
39,51,47,44
39,51,44,46
40,52,41,51
40,52,51,42
40,52,42,50
40,52,50,43
40,52,43,49
40,52,49,44
40,52,44,48
40,52,48,45
40,52,45,47
41,53,42,52
41,53,52,43
41,53,43,51
41,53,51,44
41,53,44,50
41,53,50,45
41,53,45,49
41,53,49,46
41,53,46,48
42,54,43,53
42,54,53,44
42,54,44,52
42,54,52,45
42,54,45,51
42,54,51,46
42,54,46,50
42,54,50,47
42,54,47,49
43,55,44,54
43,55,54,45
43,55,45,53
43,55,53,46
43,55,46,52
43,55,52,47
43,55,47,51
43,55,51,48
43,55,48,50
44,56,45,55
44,56,55,46
44,56,46,54
44,56,54,47
44,56,47,53
44,56,53,48
44,56,48,52
44,56,52,49
44,56,49,51
45,57,46,56
45,57,56,47
45,57,47,55
45,57,55,48
45,57,48,54
45,57,54,49
45,57,49,53
45,57,53,50
45,57,50,52
46,58,47,57
46,58,57,48
46,58,48,56
46,58,56,49
46,58,49,55
46,58,55,50
46,58,50,54
46,58,54,51
46,58,51,53
47,59,48,58
47,59,58,49
47,59,49,57
47,59,57,50
47,59,50,56
47,59,56,51
47,59,51,55
47,59,55,52
47,59,52,54
48,60,49,59
48,60,59,50
48,60,50,58
48,60,58,51
48,60,51,57
48,60,57,52
48,60,52,56
48,60,56,53
48,60,53,55
49,61,50,60
49,61,60,51
49,61,51,59
49,61,59,52
49,61,52,58
49,61,58,53
49,61,53,57
49,61,57,54
49,61,54,56
50,62,51,61
50,62,61,52
50,62,52,60
50,62,60,53
50,62,53,59
50,62,59,54
50,62,54,58
50,62,58,55
50,62,55,57
51,63,52,62
51,63,62,53
51,63,53,61
51,63,61,54
51,63,54,60
51,63,60,55
51,63,55,59
51,63,59,56
51,63,56,58
52,64,53,63
52,64,63,54
52,64,54,62
52,64,62,55
52,64,55,61
52,64,61,56
52,64,56,60
52,64,60,57
52,64,57,59
53,65,54,64
53,65,64,55
53,65,55,63
53,65,63,56
53,65,56,62
53,65,62,57
53,65,57,61
53,65,61,58
53,65,58,60
54,66,55,65
54,66,65,56
54,66,56,64
54,66,64,57
54,66,57,63
54,66,63,58
54,66,58,62
54,66,62,59
54,66,59,61
55,67,56,66
55,67,66,57
55,67,57,65
55,67,65,58
55,67,58,64
55,67,64,59
55,67,59,63
55,67,63,60
55,67,60,62
56,68,57,67
56,68,67,58
56,68,58,66
56,68,66,59
56,68,59,65
56,68,65,60
56,68,60,64
56,68,64,61
56,68,61,63
57,69,58,68
57,69,68,59
57,69,59,67
57,69,67,60
57,69,60,66
57,69,66,61
57,69,61,65
57,69,65,62
57,69,62,64
58,70,59,69
58,70,69,60
58,70,60,68
58,70,68,61
58,70,61,67
58,70,67,62
58,70,62,66
58,70,66,63
58,70,63,65
59,71,60,70
59,71,70,61
59,71,61,69
59,71,69,62
59,71,62,68
59,71,68,63
59,71,63,67
59,71,67,64
59,71,64,66
60,72,61,71
60,72,71,62
60,72,62,70
60,72,70,63
60,72,63,69
60,72,69,64
60,72,64,68
60,72,68,65
60,72,65,67
34,49,35,48
34,49,48,36
34,49,36,47
34,49,47,37
34,49,37,46
34,49,46,38
34,49,38,45
34,49,45,39
34,49,39,44
35,50,36,49
35,50,49,37
35,50,37,48
35,50,48,38
35,50,38,47
35,50,47,39
35,50,39,46
35,50,46,40
35,50,40,45
36,51,37,50
36,51,50,38
36,51,38,49
36,51,49,39
36,51,39,48
36,51,48,40
36,51,40,47
36,51,47,41
36,51,41,46
37,52,38,51
37,52,51,39
37,52,39,50
37,52,50,40
37,52,40,49
37,52,49,41
37,52,41,48
37,52,48,42
37,52,42,47
38,53,39,52
38,53,52,40
38,53,40,51
38,53,51,41
38,53,41,50
38,53,50,42
38,53,42,49
38,53,49,43
38,53,43,48
39,54,40,53
39,54,53,41
39,54,41,52
39,54,52,42
39,54,42,51
39,54,51,43
39,54,43,50
39,54,50,44
39,54,44,49
40,55,41,54
40,55,54,42
40,55,42,53
40,55,53,43
40,55,43,52
40,55,52,44
40,55,44,51
40,55,51,45
40,55,45,50
41,56,42,55
41,56,55,43
41,56,43,54
41,56,54,44
41,56,44,53
41,56,53,45
41,56,45,52
41,56,52,46
41,56,46,51
42,57,43,56
42,57,56,44
42,57,44,55
42,57,55,45
42,57,45,54
42,57,54,46
42,57,46,53
42,57,53,47
42,57,47,52
43,58,44,57
43,58,57,45
43,58,45,56
43,58,56,46
43,58,46,55
43,58,55,47
43,58,47,54
43,58,54,48
43,58,48,53
44,59,45,58
44,59,58,46
44,59,46,57
44,59,57,47
44,59,47,56
44,59,56,48
44,59,48,55
44,59,55,49
44,59,49,54
45,60,46,59
45,60,59,47
45,60,47,58
45,60,58,48
45,60,48,57
45,60,57,49
45,60,49,56
45,60,56,50
45,60,50,55
46,61,47,60
46,61,60,48
46,61,48,59
46,61,59,49
46,61,49,58
46,61,58,50
46,61,50,57
46,61,57,51
46,61,51,56
47,62,48,61
47,62,61,49
47,62,49,60
47,62,60,50
47,62,50,59
47,62,59,51
47,62,51,58
47,62,58,52
47,62,52,57
48,63,49,62
48,63,62,50
48,63,50,61
48,63,61,51
48,63,51,60
48,63,60,52
48,63,52,59
48,63,59,53
48,63,53,58
49,64,50,63
49,64,63,51
49,64,51,62
49,64,62,52
49,64,52,61
49,64,61,53
49,64,53,60
49,64,60,54
49,64,54,59
50,65,51,64
50,65,64,52
50,65,52,63
50,65,63,53
50,65,53,62
50,65,62,54
50,65,54,61
50,65,61,55
50,65,55,60
51,66,52,65
51,66,65,53
51,66,53,64
51,66,64,54
51,66,54,63
51,66,63,55
51,66,55,62
51,66,62,56
51,66,56,61
52,67,53,66
52,67,66,54
52,67,54,65
52,67,65,55
52,67,55,64
52,67,64,56
52,67,56,63
52,67,63,57
52,67,57,62
53,68,54,67
53,68,67,55
53,68,55,66
53,68,66,56
53,68,56,65
53,68,65,57
53,68,57,64
53,68,64,58
53,68,58,63
54,69,55,68
54,69,68,56
54,69,56,67
54,69,67,57
54,69,57,66
54,69,66,58
54,69,58,65
54,69,65,59
54,69,59,64
55,70,56,69
55,70,69,57
55,70,57,68
55,70,68,58
55,70,58,67
55,70,67,59
55,70,59,66
55,70,66,60
55,70,60,65
56,71,57,70
56,71,70,58
56,71,58,69
56,71,69,59
56,71,59,68
56,71,68,60
56,71,60,67
56,71,67,61
56,71,61,66
57,72,58,71
57,72,71,59
57,72,59,70
57,72,70,60
57,72,60,69
57,72,69,61
57,72,61,68
57,72,68,62
57,72,62,67
31,49,32,48
31,49,48,33
31,49,33,47
31,49,47,34
31,49,34,46
31,49,46,35
31,49,35,45
31,49,45,36
31,49,36,44
32,50,33,49
32,50,49,34
32,50,34,48
32,50,48,35
32,50,35,47
32,50,47,36
32,50,36,46
32,50,46,37
32,50,37,45
33,51,34,50
33,51,50,35
33,51,35,49
33,51,49,36
33,51,36,48
33,51,48,37
33,51,37,47
33,51,47,38
33,51,38,46
34,52,35,51
34,52,51,36
34,52,36,50
34,52,50,37
34,52,37,49
34,52,49,38
34,52,38,48
34,52,48,39
34,52,39,47
35,53,36,52
35,53,52,37
35,53,37,51
35,53,51,38
35,53,38,50
35,53,50,39
35,53,39,49
35,53,49,40
35,53,40,48
36,54,37,53
36,54,53,38
36,54,38,52
36,54,52,39
36,54,39,51
36,54,51,40
36,54,40,50
36,54,50,41
36,54,41,49
37,55,38,54
37,55,54,39
37,55,39,53
37,55,53,40
37,55,40,52
37,55,52,41
37,55,41,51
37,55,51,42
37,55,42,50
38,56,39,55
38,56,55,40
38,56,40,54
38,56,54,41
38,56,41,53
38,56,53,42
38,56,42,52
38,56,52,43
38,56,43,51
39,57,40,56
39,57,56,41
39,57,41,55
39,57,55,42
39,57,42,54
39,57,54,43
39,57,43,53
39,57,53,44
39,57,44,52
40,58,41,57
40,58,57,42
40,58,42,56
40,58,56,43
40,58,43,55
40,58,55,44
40,58,44,54
40,58,54,45
40,58,45,53
41,59,42,58
41,59,58,43
41,59,43,57
41,59,57,44
41,59,44,56
41,59,56,45
41,59,45,55
41,59,55,46
41,59,46,54
42,60,43,59
42,60,59,44
42,60,44,58
42,60,58,45
42,60,45,57
42,60,57,46
42,60,46,56
42,60,56,47
42,60,47,55
43,61,44,60
43,61,60,45
43,61,45,59
43,61,59,46
43,61,46,58
43,61,58,47
43,61,47,57
43,61,57,48
43,61,48,56
44,62,45,61
44,62,61,46
44,62,46,60
44,62,60,47
44,62,47,59
44,62,59,48
44,62,48,58
44,62,58,49
44,62,49,57
45,63,46,62
45,63,62,47
45,63,47,61
45,63,61,48
45,63,48,60
45,63,60,49
45,63,49,59
45,63,59,50
45,63,50,58
46,64,47,63
46,64,63,48
46,64,48,62
46,64,62,49
46,64,49,61
46,64,61,50
46,64,50,60
46,64,60,51
46,64,51,59
47,65,48,64
47,65,64,49
47,65,49,63
47,65,63,50
47,65,50,62
47,65,62,51
47,65,51,61
47,65,61,52
47,65,52,60
48,66,49,65
48,66,65,50
48,66,50,64
48,66,64,51
48,66,51,63
48,66,63,52
48,66,52,62
48,66,62,53
48,66,53,61
49,67,50,66
49,67,66,51
49,67,51,65
49,67,65,52
49,67,52,64
49,67,64,53
49,67,53,63
49,67,63,54
49,67,54,62
50,68,51,67
50,68,67,52
50,68,52,66
50,68,66,53
50,68,53,65
50,68,65,54
50,68,54,64
50,68,64,55
50,68,55,63
