A,B,M,N
1,4,2,3
2,5,3,4
3,6,4,5
4,7,5,6
5,8,6,7
6,9,7,8
7,10,8,9
8,11,9,10
9,12,10,11
10,13,11,12
11,14,12,13
12,15,13,14
13,16,14,15
14,17,15,16
15,18,16,17
16,19,17,18
17,20,18,19
18,21,19,20
19,22,20,21
20,23,21,22
21,24,22,23
22,25,23,24
23,26,24,25
24,27,25,26
25,28,26,27
26,29,27,28
27,30,28,29
28,31,29,30
29,32,30,31
30,33,31,32
31,34,32,33
32,35,33,34
33,36,34,35
34,37,35,36
35,38,36,37
36,39,37,38
37,40,38,39
38,41,39,40
39,42,40,41
40,43,41,42
41,44,42,43
42,45,43,44
43,46,44,45
44,47,45,46
45,48,46,47
46,49,47,48
47,50,48,49
48,51,49,50
49,52,50,51
50,53,51,52
51,54,52,53
52,55,53,54
53,56,54,55
54,57,55,56
55,58,56,57
56,59,57,58
57,60,58,59
58,61,59,60
59,62,60,61
60,63,61,62
61,64,62,63
62,65,63,64
63,66,64,65
64,67,65,66
65,68,66,67
66,69,67,68
67,70,68,69
68,71,69,70
69,72,70,71
1,5,2,4
2,6,3,5
3,7,4,6
4,8,5,7
5,9,6,8
6,10,7,9
7,11,8,10
8,12,9,11
9,13,10,12
10,14,11,13
11,15,12,14
12,16,13,15
13,17,14,16
14,18,15,17
15,19,16,18
16,20,17,19
17,21,18,20
18,22,19,21
19,23,20,22
20,24,21,23
21,25,22,24
22,26,23,25
23,27,24,26
24,28,25,27
25,29,26,28
26,30,27,29
27,31,28,30
28,32,29,31
29,33,30,32
30,34,31,33
31,35,32,34
32,36,33,35
33,37,34,36
34,38,35,37
35,39,36,38
36,40,37,39
37,41,38,40
38,42,39,41
39,43,40,42
40,44,41,43
41,45,42,44
42,46,43,45
43,47,44,46
44,48,45,47
45,49,46,48
46,50,47,49
47,51,48,50
48,52,49,51
49,53,50,52
50,54,51,53
51,55,52,54
52,56,53,55
53,57,54,56
54,58,55,57
55,59,56,58
56,60,57,59
57,61,58,60
58,62,59,61
59,63,60,62
60,64,61,63
61,65,62,64
62,66,63,65
63,67,64,66
64,68,65,67
65,69,66,68
66,70,67,69
67,71,68,70
68,72,69,71
1,7,2,6
1,7,6,3
1,7,3,5
2,8,3,7
2,8,7,4
2,8,4,6
3,9,4,8
3,9,8,5
3,9,5,7
4,10,5,9
4,10,9,6
4,10,6,8
5,11,6,10
5,11,10,7
5,11,7,9
6,12,7,11
6,12,11,8
6,12,8,10
7,13,8,12
7,13,12,9
7,13,9,11
8,14,9,13
8,14,13,10
8,14,10,12
9,15,10,14
9,15,14,11
9,15,11,13
10,16,11,15
10,16,15,12
10,16,12,14
11,17,12,16
11,17,16,13
11,17,13,15
12,18,13,17
12,18,17,14
12,18,14,16
13,19,14,18
13,19,18,15
13,19,15,17
14,20,15,19
14,20,19,16
14,20,16,18
15,21,16,20
15,21,20,17
15,21,17,19
16,22,17,21
16,22,21,18
16,22,18,20
17,23,18,22
17,23,22,19
17,23,19,21
18,24,19,23
18,24,23,20
18,24,20,22
19,25,20,24
19,25,24,21
19,25,21,23
20,26,21,25
20,26,25,22
20,26,22,24
21,27,22,26
21,27,26,23
21,27,23,25
22,28,23,27
22,28,27,24
22,28,24,26
23,29,24,28
23,29,28,25
23,29,25,27
24,30,25,29
24,30,29,26
24,30,26,28
25,31,26,30
25,31,30,27
25,31,27,29
26,32,27,31
26,32,31,28
26,32,28,30
27,33,28,32
27,33,32,29
27,33,29,31
28,34,29,33
28,34,33,30
28,34,30,32
29,35,30,34
29,35,34,31
29,35,31,33
30,36,31,35
30,36,35,32
30,36,32,34
31,37,32,36
31,37,36,33
31,37,33,35
32,38,33,37
32,38,37,34
32,38,34,36
33,39,34,38
33,39,38,35
33,39,35,37
34,40,35,39
34,40,39,36
34,40,36,38
35,41,36,40
35,41,40,37
35,41,37,39
36,42,37,41
36,42,41,38
36,42,38,40
37,43,38,42
37,43,42,39
37,43,39,41
38,44,39,43
38,44,43,40
38,44,40,42
39,45,40,44
39,45,44,41
39,45,41,43
40,46,41,45
40,46,45,42
40,46,42,44
41,47,42,46
41,47,46,43
41,47,43,45
42,48,43,47
42,48,47,44
42,48,44,46
43,49,44,48
43,49,48,45
43,49,45,47
44,50,45,49
44,50,49,46
44,50,46,48
45,51,46,50
45,51,50,47
45,51,47,49
46,52,47,51
46,52,51,48
46,52,48,50
47,53,48,52
47,53,52,49
47,53,49,51
48,54,49,53
48,54,53,50
48,54,50,52
49,55,50,54
49,55,54,51
49,55,51,53
50,56,51,55
50,56,55,52
50,56,52,54
51,57,52,56
51,57,56,53
51,57,53,55
52,58,53,57
52,58,57,54
52,58,54,56
53,59,54,58
53,59,58,55
53,59,55,57
54,60,55,59
54,60,59,56
54,60,56,58
55,61,56,60
55,61,60,57
55,61,57,59
56,62,57,61
56,62,61,58
56,62,58,60
57,63,58,62
57,63,62,59
57,63,59,61
58,64,59,63
58,64,63,60
58,64,60,62
59,65,60,64
59,65,64,61
59,65,61,63
60,66,61,65
60,66,65,62
60,66,62,64
61,67,62,66
61,67,66,63
61,67,63,65
62,68,63,67
62,68,67,64
62,68,64,66
63,69,64,68
63,69,68,65
63,69,65,67
64,70,65,69
64,70,69,66
64,70,66,68
65,71,66,70
65,71,70,67
65,71,67,69
66,72,67,71
66,72,71,68
66,72,68,70
1,10,2,9
1,10,9,3
1,10,3,8
1,10,8,4
1,10,4,7
1,10,7,5
1,10,5,6
2,11,3,10
2,11,10,4
2,11,4,9
2,11,9,5
2,11,5,8
2,11,8,6
2,11,6,7
3,12,4,11
3,12,11,5
3,12,5,10
3,12,10,6
3,12,6,9
3,12,9,7
3,12,7,8
4,13,5,12
4,13,12,6
4,13,6,11
4,13,11,7
4,13,7,10
4,13,10,8
4,13,8,9
5,14,6,13
5,14,13,7
5,14,7,12
5,14,12,8
5,14,8,11
5,14,11,9
5,14,9,10
6,15,7,14
6,15,14,8
6,15,8,13
6,15,13,9
6,15,9,12
6,15,12,10
6,15,10,11
7,16,8,15
7,16,15,9
7,16,9,14
7,16,14,10
7,16,10,13
7,16,13,11
7,16,11,12
8,17,9,16
8,17,16,10
8,17,10,15
8,17,15,11
8,17,11,14
8,17,14,12
8,17,12,13
9,18,10,17
9,18,17,11
9,18,11,16
9,18,16,12
9,18,12,15
9,18,15,13
9,18,13,14
10,19,11,18
10,19,18,12
10,19,12,17
10,19,17,13
10,19,13,16
10,19,16,14
10,19,14,15
11,20,12,19
11,20,19,13
11,20,13,18
11,20,18,14
11,20,14,17
11,20,17,15
11,20,15,16
12,21,13,20
12,21,20,14
12,21,14,19
12,21,19,15
12,21,15,18
12,21,18,16
12,21,16,17
13,22,14,21
13,22,21,15
13,22,15,20
13,22,20,16
13,22,16,19
13,22,19,17
13,22,17,18
14,23,15,22
14,23,22,16
14,23,16,21
14,23,21,17
14,23,17,20
