A,B,M,N
1,2,3,4
1,2,4,5
1,2,5,6
1,2,6,7
1,2,7,8
1,2,8,9
1,2,9,10
1,2,10,11
1,2,11,12
1,2,12,13
12,13,14,15
12,13,15,16
12,13,16,17
12,13,17,18
12,13,18,19
12,13,19,20
12,13,20,21
12,13,21,22
12,13,22,23
12,13,23,24
12,13,11,10
12,13,10,9
12,13,9,8
12,13,8,7
12,13,7,6
12,13,6,5
12,13,5,4
12,13,4,3
12,13,3,2
12,13,2,1
1,3,5,7
1,3,7,9
1,3,9,11
1,3,11,13
1,3,13,15
1,3,15,17
1,3,17,19
1,3,19,21
1,3,21,23
1,3,23,25
23,25,27,29
23,25,29,31
23,25,31,33
23,25,33,35
23,25,35,37
23,25,37,39
23,25,39,41
23,25,41,43
23,25,43,45
23,25,45,47
23,25,21,19
23,25,19,17
23,25,17,15
23,25,15,13
23,25,13,11
23,25,11,9
23,25,9,7
23,25,7,5
23,25,5,3
23,25,3,1
1,4,2,3
1,4,3,7
1,4,7,10
1,4,10,13
1,4,13,16
1,4,16,19
1,4,19,22
1,4,22,25
1,4,25,28
1,4,28,31
28,31,29,30
28,31,30,34
28,31,34,37
28,31,37,40
28,31,40,43
28,31,43,46
28,31,46,49
28,31,49,52
28,31,52,55
28,31,55,58
28,31,30,29
28,31,29,25
28,31,25,22
28,31,22,19
28,31,19,16
28,31,16,13
28,31,13,10
28,31,10,7
28,31,7,4
28,31,4,1
1,5,2,4
1,5,4,9
1,5,9,13
1,5,13,17
1,5,17,21
1,5,21,25
1,5,25,29
1,5,29,33
1,5,33,37
1,5,37,41
37,41,40,38
37,41,38,33
37,41,33,29
37,41,29,25
37,41,25,21
37,41,21,17
37,41,17,13
37,41,13,9
37,41,9,5
37,41,5,1
1,6,2,5
1,6,5,11
1,6,11,16
1,6,16,21
1,6,21,26
1,6,26,31
1,6,31,36
1,6,36,41
1,6,41,46
1,6,46,51
46,51,50,47
46,51,47,41
46,51,41,36
46,51,36,31
46,51,31,26
46,51,26,21
46,51,21,16
46,51,16,11
46,51,11,6
46,51,6,1
1,7,2,6
1,7,6,13
1,7,13,19
1,7,19,25
1,7,25,31
1,7,31,37
1,7,37,43
1,7,43,49
1,7,49,55
1,7,55,61
55,61,60,56
55,61,56,49
55,61,49,43
55,61,43,37
55,61,37,31
55,61,31,25
55,61,25,19
55,61,19,13
55,61,13,7
55,61,7,1
1,8,2,7
1,8,7,15
1,8,15,22
1,8,22,29
1,8,29,36
1,8,36,43
1,8,43,50
1,8,50,57
1,8,57,64
1,8,64,71
64,71,70,65
64,71,65,57
64,71,57,50
64,71,50,43
64,71,43,36
64,71,36,29
64,71,29,22
64,71,22,15
64,71,15,8
64,71,8,1
1,37,3,35
1,37,35,5
1,37,5,33
1,37,33,7
1,37,7,31
1,37,31,9
1,37,9,29
1,37,29,11
1,37,11,27
1,37,27,13
1,39,3,37
1,39,37,5
1,39,5,35
1,39,35,7
1,39,7,33
1,39,33,9
1,39,9,31
1,39,31,11
1,39,11,29
1,39,29,13
1,41,4,38
1,41,38,7
1,41,7,35
1,41,35,10
1,41,10,32
1,41,32,13
1,41,13,29
1,41,29,16
1,41,16,26
1,41,26,19
1,43,4,40
1,43,40,7
1,43,7,37
1,43,37,10
1,43,10,34
1,43,34,13
1,43,13,31
1,43,31,16
1,43,16,28
1,43,28,19
1,45,4,42
1,45,42,7
1,45,7,39
1,45,39,10
1,45,10,36
1,45,36,13
1,45,13,33
1,45,33,16
1,45,16,30
1,45,30,19
1,47,4,44
1,47,44,7
1,47,7,41
1,47,41,10
1,47,10,38
1,47,38,13
1,47,13,35
1,47,35,16
1,47,16,32
1,47,32,19
1,49,4,46
1,49,46,7
1,49,7,43
1,49,43,10
1,49,10,40
1,49,40,13
1,49,13,37
1,49,37,16
1,49,16,34
1,49,34,19
1,51,4,48
1,51,48,7
1,51,7,45
1,51,45,10
1,51,10,42
1,51,42,13
1,51,13,39
1,51,39,16
1,51,16,36
1,51,36,19
1,53,4,50
1,53,50,7
1,53,7,47
1,53,47,10
1,53,10,44
1,53,44,13
1,53,13,41
1,53,41,16
1,53,16,38
1,53,38,19
1,55,4,52
1,55,52,7
1,55,7,49
1,55,49,10
1,55,10,46
1,55,46,13
1,55,13,43
1,55,43,16
1,55,16,40
1,55,40,19
1,57,5,53
1,57,53,9
1,57,9,49
1,57,49,13
1,57,13,45
1,57,45,17
1,57,17,41
1,57,41,21
1,57,21,37
1,57,37,25
1,59,5,55
1,59,55,9
1,59,9,51
1,59,51,13
1,59,13,47
1,59,47,17
1,59,17,43
1,59,43,21
1,59,21,39
1,59,39,25
1,61,5,57
1,61,57,9
1,61,9,53
1,61,53,13
1,61,13,49
1,61,49,17
1,61,17,45
1,61,45,21
1,61,21,41
1,61,41,25
1,63,5,59
1,63,59,9
1,63,9,55
1,63,55,13
1,63,13,51
1,63,51,17
1,63,17,47
1,63,47,21
1,63,21,43
1,63,43,25
1,65,5,61
1,65,61,9
1,65,9,57
1,65,57,13
1,65,13,53
1,65,53,17
1,65,17,49
1,65,49,21
1,65,21,45
1,65,45,25
1,67,5,63
1,67,63,9
1,67,9,59
1,67,59,13
1,67,13,55
1,67,55,17
1,67,17,51
1,67,51,21
1,67,21,47
1,67,47,25
1,69,5,65
1,69,65,9
1,69,9,61
1,69,61,13
1,69,13,57
1,69,57,17
1,69,17,53
1,69,53,21
1,69,21,49
1,69,49,25
1,71,5,67
1,71,67,9
1,71,9,63
1,71,63,13
