X.,X,Y,Z,h,height,height_smooth,width
1,375447.3,5014379.3,800.3975,803.08,2.68,2.68,7.5
2,375443.7,5014377.2,800.7054,803.08,2.37,2.68,10.5
3,375440.4,5014375,799.2423,802.95,3.71,3.35,13
4,375437.3,5014372.7,799.16,802.51,3.35,3.54,13
5,375433.6,5014370.3,798.5961,802.14,3.54,3.54,13
6,375430.8,5014367.9,799.2515,803.47,4.22,3.54,15
7,375427.1,5014366,797.6116,801.8,4.19,4.06,16.5
8,375424.9,5014364.4,797.6787,801.32,3.64,4.06,16
9,375420.7,5014362,797.9408,802,4.06,3.64,12
10,375417,5014360.6,798.459,801.77,3.31,3.31,6
11,375413.8,5014358.5,800.7175,802.27,1.55,2.65,2
12,375411.4,5014356.6,800.3823,802.06,1.68,2.65,2
13,375407.6,5014355.1,799.5928,803.49,3.9,3.9,10
14,375405.7,5014353.7,801.6899,808.32,6.63,3.9,9
15,375401.6,5014353,804.4087,809.17,4.76,3.69,6
16,375397.3,5014353.8,806.0668,809.76,3.69,3.69,5
17,375393.9,5014353,806.018,809.71,3.69,3.69,4
18,375390.1,5014352.9,806.1216,809.58,3.46,3.46,1.5
19,375386.6,5014351.5,805.8016,809.08,3.28,3.28,2
20,375383.1,5014349.7,806.3106,808.33,2.02,2.66,5
21,375380.7,5014346.8,805.4816,808.14,2.66,2.02,11
22,375378.9,5014343.4,805.0091,806.43,1.42,1.52,13.5
23,375376.9,5014339.6,804.3172,805.84,1.52,1.52,14
24,375377.2,5014336,803.7808,805.45,1.67,1.67,13.3
25,375377.7,5014332.3,803.1102,806.27,3.16,3.16,13
26,375377.9,5014328.3,802.5159,806.82,4.3,3.61,13
27,375378,5014324.3,802.5433,806.63,4.09,3.61,12.5
28,375378.1,5014320.3,802.7658,806.04,3.27,3.27,11
29,375377.4,5014316,802.7384,805.84,3.1,3.1,8.5
30,375377.1,5014312.9,802.7353,804.84,2.1,2.1,6.5
31,375376.4,5014309.2,802.4884,803.91,1.42,1.42,4
32,375375.9,5014305.4,802.2995,802.63,0.33,1.42,2
33,375376.1,5014302.1,800.7998,802.47,1.67,1.67,4
34,375377.6,5014298.2,799.4801,802.49,3.01,2.21,7
35,375379.2,5014294.5,799.9037,802.11,2.21,2.39,7
36,375380.8,5014291.2,800.3609,803,2.64,2.64,5.5
37,375382.6,5014287.4,800.4615,802.85,2.39,2.64,3
38,375383.5,5014283.6,799.3642,802.66,3.3,2.64,2
39,375384.9,5014279.7,798.7699,802.62,3.85,3.22,4
40,375386.3,5014276.4,800.5347,803.75,3.22,3.22,9
41,375386.6,5014272.9,801.0924,803.63,2.54,2.54,8
42,375387.8,5014269.3,800.9766,802.53,1.55,2.27,9
43,375388.7,5014265.5,801.6929,803.96,2.27,2.07,13
44,375389.6,5014261.9,802.0495,804.12,2.07,2.07,15
45,375390.2,5014258.3,802.1196,803.56,1.44,2.07,12
46,375390.3,5014254.1,801.5801,803.83,2.25,2.25,13
47,375390.9,5014250.2,801.7813,804.26,2.48,2.25,13
48,375392.1,5014246.9,802.7993,804.26,1.46,2.25,9
