Channel,Time,E/I[V/A],Err[V/A],rho_app,RxA,TxS,TxR,I,depth_eff_eq1,rho_eff_eq1,depth_eff_eq5,rho_eff_eq5
4,0.00000708,1.908,0.001078,90.3526079505956,2500,50,28.2094791773878,2.2,17.7756058772072,-139.794865445932,13.872962264248,88.8215236907657
5,0.00000852,1.43,0.0006906,80.4312872623184,2500,50,28.2094791773878,2.2,18.3979631398614,29.8999389938589,14.3586806627838,79.0683262950763
6,0.00001053,0.9963,0.0004651,71.9020043201489,2500,50,28.2094791773878,2.2,19.3384704568142,33.8486793431006,15.0926991039817,70.683577651989
7,0.00001255,0.758,0.0003524,64.3965630386737,2500,50,28.2094791773878,2.2,19.9797773701885,23.9427924091876,15.5932067474625,63.3053210004852
8,0.00001456,0.5814,0.0002711,59.9969802875809,2500,50,28.2094791773878,2.2,20.7722155726299,31.4171264587211,16.211664726063,58.9802920675146
9,0.00001744,0.3997,0.000191,57.0139944575735,2500,50,28.2094791773878,2.2,22.1616153231363,40.9045363733652,17.296021031096,56.0478548907803
10,0.00002146,0.2529,0.000124,54.7477514250512,2500,50,28.2094791773878,2.2,24.089924534473,44.0421899735032,18.8009689415905,53.8200148342733
11,0.00002549,0.1664,0.00008488,54.3245864107941,2500,50,28.2094791773878,2.2,26.1529431257257,51.8752171167457,20.4110507168389,53.4040206289982
12,0.0000295,0.1138,0.0000594,54.859288117419,2500,50,28.2094791773878,2.2,28.2731065031568,58.5369725723795,22.0657311104258,53.9296614641631
13,0.00003528,0.06967,0.00003631,56.4681467321975,2500,50,28.2094791773878,2.2,31.3692035886245,65.5904828462378,24.4820784535122,55.5112569134697
14,0.0000433,0.03875,0.00002068,59.3454467938015,2500,50,28.2094791773878,2.2,35.6266582187187,73.7442120834579,27.8048066819086,58.3397992365307
15,0.0000514,0.0236,0.00001465,62.063343549988,2500,50,28.2094791773878,2.2,39.6950708261529,78.2699860820397,30.9799971630779,61.0116394478357
16,0.00005941,0.01536,0.00001231,64.9164812608737,2500,50,28.2094791773878,2.2,43.6460252061241,85.0632022776192,34.0635174323581,63.8164288670744
17,0.00007095,0.009127,0.000009851,68.3243752116331,2500,50,28.2094791773878,2.2,48.9329582300706,88.0177104733491,38.1897015321566,67.1665738174947
18,0.00008707,0.004993,0.00001224,72.6150126814644,2500,50,28.2094791773878,2.2,55.8836698582689,94.2165052774427,43.6143807691837,71.3845036185192
19,0.00010316,0.003006,0.000004413,76.7721133303943,2500,50,28.2094791773878,2.2,62.5453247647443,101.976555095976,48.8134658396666,75.4711594677419
20,0.00011922,0.001955,0.000005709,80.3591495724134,2500,50,28.2094791773878,2.2,68.7906894386792,105.720793433599,53.6876574169598,78.9974110256864
21,0.00014233,0.001109,0.00000453,87.2837217164232,2500,50,28.2094791773878,2.2,78.3343582773059,128.003839342538,61.1360087460425,85.8046417486102
22,0.00017454,0.0005735,0.000002352,96.4275505137035,2500,50,28.2094791773878,2.2,91.1770403184047,143.518805118853,71.1590731950779,94.7935223638331
23,0.00020671,0.0003129,0.000002389,108.937026124946,2500,50,28.2094791773878,2.2,105.464412678791,187.488069996861,82.3096454444917,107.091016698148
24,0.00023883,0.0001871,0.000002173,120.647329388967,2500,50,28.2094791773878,2.2,119.300079510192,205.933319862928,93.1076843512189,118.602881185336
25,0.00028504,0.00009106,0.000001059,145.206789315249,2500,50,28.2094791773878,2.2,142.982801937756,297.317469776007,111.590852622492,142.746164939442
26,0.00035,0.0000407,0.000001115,176.416291719744,2500,50,28.2094791773878,2.2,174.638826313737,343.710315268441,136.296780208748,173.426801836095
